,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,expected_points
10,GKP,45,Sels,Nott'm Forest,0.0,0.0,0.94,90.0,1.48,2.25,0.98
1,GKP,56,Raya,Arsenal,0.0,0.0,0.74,90.0,1.4,3.0,0.99
12,DEF,49,Udogie,Spurs,0.05,0.02,0.8,90.0,1.23,3.0,1.51
9,DEF,45,Martinez,Man Utd,0.21,0.01,1.12,90.0,2.21,3.25,1.68
3,DEF,45,Konsa,Aston Villa,0.0,0.01,0.51,90.0,0.89,2.75,1.71
6,DEF,43,Andersen,Fulham,0.01,0.01,0.8,90.0,0.89,3.0,1.72
11,DEF,55,Pedro Porro,Spurs,0.06,0.09,0.96,90.0,1.23,3.0,1.75
13,MID,50,Mario Jr.,Wolves,0.19,0.02,1.73,90.0,2.3,2.0,1.22
4,MID,50,Baleba,Brighton,0.18,0.03,1.17,90.0,1.85,1.25,1.35
14,MID,55,Georginio,Brighton,0.25,0.05,1.17,70.0,1.85,1.25,1.42
5,MID,108,Palmer,Chelsea,0.39,0.1,0.85,90.0,1.13,2.5,2.7
2,MID,101,Saka,Arsenal,0.29,0.41,0.65,90.0,1.4,3.0,2.93
7,FWD,60,Calvert-Lewin,Everton,0.31,0.01,1.0,90.0,2.07,2.75,1.3
0,FWD,83,Havertz,Arsenal,0.77,0.04,0.74,90.0,1.4,3.0,3.2
8,FWD,154,Haaland,Man City,0.81,0.09,0.96,90.0,1.48,2.0,3.86
