,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,total_points,expected_points
13,GKP,44,Muric,Ipswich,0.0,0.0,1.74,90.0,2.21,1.2,3.0,0.52
10,GKP,47,Sels,Nott'm Forest,0.0,0.0,1.12,90.0,1.07,1.8,5.0,1.54
0,DEF,44,Kerkez,Bournemouth,0.0,0.1,1.48,90.0,1.57,1.2,2.0,1.27
7,DEF,63,Gvardiol,Man City,0.07,0.15,2.04,90.0,1.95,2.2,7.0,1.47
6,DEF,45,Young,Everton,0.0,0.1,1.1,90.0,1.14,2.8,6.0,1.57
4,DEF,43,Mykolenko,Everton,0.03,0.03,1.1,90.0,1.14,2.8,6.0,1.57
5,DEF,48,Tarkowski,Everton,0.0,0.11,1.1,90.0,1.14,2.8,6.0,1.59
3,MID,52,J.Ayew,Leicester,0.1,0.01,0.65,22.0,2.07,1.8,6.0,0.18
12,MID,99,Son,Spurs,0.02,0.16,1.39,62.0,1.73,3.4,4.0,0.5
1,MID,79,Mbeumo,Brentford,0.03,0.12,1.3,90.0,1.79,2.0,3.0,0.75
14,MID,56,Georginio,Brighton,0.19,0.02,1.65,71.0,1.87,2.8,5.0,0.94
8,MID,85,B.Fernandes,Man Utd,0.24,0.17,1.11,90.0,1.5,2.2,5.0,2.09
2,FWD,60,Welbeck,Brighton,0.3,0.01,1.65,85.0,1.87,2.8,5.0,1.18
11,FWD,66,Wood,Nott'm Forest,0.35,0.01,0.76,80.0,1.07,1.8,7.0,1.42
9,FWD,85,Isak,Newcastle,0.55,0.09,1.05,90.0,1.34,3.4,6.0,2.37
