,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,expected_points
1,GKP,56,Raya,Arsenal,0.0,0.0,1.01,90.0,1.38,2.5,1.05
9,GKP,45,Sels,Nott'm Forest,0.0,0.0,0.94,90.0,1.27,2.0,1.24
2,DEF,45,Konsa,Aston Villa,0.0,0.01,0.69,90.0,0.98,2.5,1.61
8,DEF,45,Aina,Nott'm Forest,0.0,0.09,0.94,90.0,1.27,2.0,1.49
10,DEF,55,Pedro Porro,Spurs,0.04,0.1,0.98,90.0,1.14,2.75,1.85
11,DEF,49,Udogie,Spurs,0.02,0.02,0.9,90.0,1.14,2.75,1.51
12,DEF,46,Van de Ven,Spurs,0.0,0.02,0.78,90.0,1.14,2.75,1.35
14,MID,55,Georginio,Brighton,0.2,0.03,1.06,68.0,1.76,1.0,1.12
4,MID,54,Minteh,Brighton,0.08,0.04,0.9,69.0,1.76,1.0,0.64
5,MID,108,Palmer,Chelsea,0.4,0.12,0.98,90.0,1.34,2.25,2.86
7,MID,63,Garnacho,Man Utd,0.22,0.05,0.88,79.0,2.2,2.75,1.25
13,MID,50,Mario Jr.,Wolves,0.12,0.04,1.64,90.0,2.26,2.0,0.89
0,FWD,83,Havertz,Arsenal,0.49,0.04,1.01,90.0,1.38,2.5,2.17
3,FWD,91,Watkins,Aston Villa,0.55,0.06,0.52,83.0,0.98,2.5,2.32
6,FWD,154,Haaland,Man City,0.96,0.06,0.84,90.0,1.31,2.0,4.42
