,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,total_points,expected_points
13,GKP,44,Muric,Ipswich,0.0,0.0,1.74,90.0,2.21,1.83,3.0,0.49
9,GKP,47,Sels,Nott'm Forest,0.0,0.0,1.12,90.0,1.07,1.5,5.0,1.58
11,DEF,55,Pedro Porro,Spurs,0.04,0.11,1.74,90.0,1.73,2.83,2.0,1.24
6,DEF,63,Gvardiol,Man City,0.07,0.15,2.04,90.0,1.95,2.33,7.0,1.45
3,DEF,45,Young,Everton,0.0,0.1,1.1,90.0,1.14,2.33,6.0,1.64
1,DEF,43,Mykolenko,Everton,0.03,0.03,1.1,90.0,1.14,2.33,6.0,1.64
2,DEF,48,Tarkowski,Everton,0.0,0.11,1.1,90.0,1.14,2.33,6.0,1.66
0,MID,52,J.Ayew,Leicester,0.1,0.01,0.65,22.0,2.07,2.33,6.0,0.17
5,MID,53,Jones,Liverpool,0.07,0.01,1.03,64.0,1.33,1.5,3.0,0.53
12,MID,99,Son,Spurs,0.02,0.16,1.39,62.0,1.73,2.83,4.0,0.53
14,MID,56,Georginio,Brighton,0.19,0.02,1.65,71.0,1.87,2.83,5.0,0.93
7,MID,85,B.Fernandes,Man Utd,0.24,0.17,1.11,90.0,1.5,1.83,5.0,2.16
4,FWD,56,Vardy,Leicester,0.04,0.01,1.73,90.0,2.07,2.33,5.0,0.2
10,FWD,66,Wood,Nott'm Forest,0.35,0.01,0.76,80.0,1.07,1.5,7.0,1.46
8,FWD,85,Isak,Newcastle,0.71,0.09,1.05,90.0,1.27,3.33,6.0,3.01
