,web_name,chance_of_playing_next_round,element_type,now_cost,team_code,id_pos,player_position,squad_select,code,team_name,element,mean_ppg
13,Sels,100.0,1,50,17,1,GKP,2,17,Nott'm Forest,443,5.14
9,Dúbravka,100.0,1,43,4,1,GKP,2,4,Newcastle,396,5.57
0,Kerkez,100.0,2,48,91,2,DEF,5,91,Bournemouth,70,5.0
2,Huijsen,,2,44,91,2,DEF,5,91,Bournemouth,580,5.0
4,Mitchell,,2,48,31,2,DEF,5,31,Crystal Palace,210,5.29
12,Aina,100.0,2,54,17,2,DEF,5,17,Nott'm Forest,422,6.14
10,Hall,,2,51,4,2,DEF,5,4,Newcastle,399,7.43
3,Mbeumo,100.0,3,78,94,3,MID,5,94,Brentford,99,6.29
1,Kluivert,100.0,3,56,91,3,MID,5,91,Bournemouth,71,6.57
8,Amad,100.0,3,56,1,3,MID,5,1,Man Utd,364,7.14
7,Foden,100.0,3,93,43,3,MID,5,43,Man City,348,8.71
6,M.Salah,,3,137,14,3,MID,5,14,Liverpool,328,9.0
5,Gakpo,,4,75,14,4,FWD,3,14,Liverpool,321,5.29
14,Wood,100.0,4,71,17,4,FWD,3,17,Nott'm Forest,447,6.71
11,Isak,100.0,4,95,4,4,FWD,3,4,Newcastle,401,9.71
